"キャラ詳細数値
※作業時は基本、各個人のローカルのスプシにコピーしてから作業!!
謎のコピーシート見つけたら、管理衛生上、削除してしまうのでご注意を。
↑↑運用定着したら注意表記削除します",,,,,,,,"※A列(A列)〜K列、「監修・企画」ID管理更新待ち。
↓↓↓(D列〜J列は作品表示順、自動出力数値etcに影響)",,,※↓手動,,0.0,※↓手動,※↓手動,"※新ワザ
追加時
メンテ必要","※新特性
追加時
メンテ必要",,,,※↓手動,,※↓手動,,,※↓手動,,※↓手動,,,※↓手動,"※新ワザ
追加時
メンテ必要",,,,,,,,,,,※↓手動,,,,"手動
※攻撃力との差し引きなし",,,,,,,※メンテ中,※メンテ中,,,※↓手動,,,"手動
※体力との差し引きなし",,,,,※↓手動,,※↓手動(レギュ参照),※↓半自動,※↓半自動,※↓半手動,※↓手動,※手動(指示書),※↓手動,※↓半手動,,"※↓手動
※UR以上は特性2つ",※↓半手動,,※半自動,"※指示書
※↓範囲指定手動",,,"※指示書
※↓範囲指定手動","※指示書
※↓範囲指定手動",,※SPキャラは手動,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",,,,"※↓手動
※Fes_UR以上は特性3つ",※↓半手動,,"封印
推しの子までのキャラ設計書の対象箇所が参照元になっているため。
キャラ設計書に全て値のみ貼り付けたら削除可能。",※↓手動,※↓手動,※↓手動,※↓手動,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,範囲対象数→,5,※↓手動,"※↓半手動
攻撃系倍率のみ自動",※効果時間がある必殺ワザの場合は、完凸時の効果時間を入力必須(CT計算に影響),,"※
必殺ワザ1、その他ワザと
差分ある時のみ指定
【対象範囲：DF列〜DK列】",,,
株式会社マジルミエ,葵 リリー,chara_mag_00301,PremiumSSR,緑,ディフェンス,中距離,dageki_1,-,202511010_株式会社マジルミエ,株式会社マジルミエいいジャン祭,※,525,600,中コスト,-100,10.0,15.0,10.6,985,19.7,0.0,0.0,0.0,515,10.3,0.0,0.00,0.0,1080,21.6,0.0,6.8,-1.6,4.5,17.1,1,2690,"20,512",17.9,9.0,1580,0.90,0.00,-0.10,-0.20,0.10,0.00,,1850,"14,106",740,"5,642",-,#VALUE!,#VALUE!,740,1050,0.20,-0.50,0.00,0.00,0.00,0.00,125,100,25.0,2.5,(中距離)特殊攻撃・投げ物・長物,1,45,0.34,0,速い,氷結攻撃無効化,60,0,-,-,-,中距離,単体,1,0.35,自身,自身,該当なし,自身のみ,自身,All,All,21.6,-,-,-,瞬間型,ダメージカット(自身),瞬間型,自身,All,All,30,4.5,-,0,0,-,-,-,-,-,-,-,-
株式会社マジルミエ,槇野 あかね,chara_mag_00401,DropSR,赤,テクニカル,近距離,zangeki_1,zangeki_1,202511010_株式会社マジルミエ,株式会社マジルミエいいジャン祭,※,375,200,低コスト,140,20.0,15.0,6.9,290,5.8,0.0,0.0,0.0,150,3.0,0.0,0.00,0.0,1175,23.5,0.0,14.6,0.0,9.7,13.8,1,790,"5,460",5.3,2.6,1130,-0.30,0.00,0.00,0.00,0.00,0.00,,830,"5,736",830,"5,736",-,#VALUE!,#VALUE!,830,750,0.00,0.10,0.00,0.00,0.00,0.00,50,50,0.0,1.0,(近距離)武器・道具・特殊攻撃,3,45,0.26,-0.05,速い,氷結攻撃無効化,20,2,-,-,-,近距離,単体,1,0.27,近距離,単体,1,0.27,敵,All,All,23.5,-,-,-,瞬間型,攻撃(必殺),瞬間型,敵,All,All,153,-,"8,776",410,0,攻撃力Down,8.00,9.7,-,-,-,-,-
株式会社マジルミエ,重本 浩司,chara_mag_00501,DropSR,無,スペシャル,該当なし,-,-,202511010_株式会社マジルミエ,株式会社マジルミエいいジャン祭,※,350,200,低コスト,140,10.0,0.0,6.3,385,7.7,0.0,0.0,0.0,200,4.0,0.0,0.00,0.0,910,18.2,0.0,8.0,0.0,5.3,12.9,1,1050,"7,257",7.0,3.5,1050,0.00,0.00,0.00,0.00,0.00,0.00,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,700,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,-,該当なし,該当なし,#VALUE!,0,-,-,-,-,-,-,-,該当なし,,-,#VALUE!,タップしたコマ,タップしたコマ,-,タップしたコマ,味方,All,アタック,-,-,-,-,SP専用,ダメージカット(アタック),SP専用,味方,All,アタック,22,5.3,-,0,0,-,-,-,-,-,-,-,-
株式会社マジルミエ,絶対効率の体現者 土刃 メイ,chara_mag_00201,PremiumUR,赤,アタック,遠距離,shageki_1,dageki_1,202511010_株式会社マジルミエ,株式会社マジルミエいいジャン祭,※,275,200,低コスト,50,15.0,10.0,4.4,260,5.2,0.7,0.0,0.0,100,2.0,0.0,-0.17,0.0,710,14.2,0.0,7.1,0.0,-,-,1,500,"4,085",3.3,1.7,830,-0.20,0.00,-0.30,0.10,0.00,0.00,,2160,"17,654",720,"5,885",-,#VALUE!,#VALUE!,720,550,-0.10,0.30,0.10,0.00,0.00,0.00,150,150,0.0,3.0,(遠距離)攻撃を飛ばす系,3,45,0.49,-0.1,速い,体力条件強化(以上/攻撃),HP50/35,0,ダメージコマ無効化,-,4,遠距離,単体,1,0.5,遠距離,範囲(小：威力減),0.5,0.6,敵,All,All,14.2,-,-,-,-,連続攻撃,-,敵,All,All,113,-,"19,949","1,537","7,684",ノックバック,2.00,-,-,-,-,-,-
2.5次元の誘惑,伝えたいウチの想い 喜咲 アリア,chara_yuw_00401,PremiumUR,赤,ディフェンス,近距離,dageki_2,zangeki_1,202511020_【クリスマス】2.5次元の誘惑,2.5次元の誘惑いいジャン祭,※,840,1000,高コスト,-200,20.0,20.0,18.5,1535,30.7,0.0,0.0,0.0,550,11.0,-4.0,0.00,0.0,1175,23.5,-18.0,20.8,0.0,-,-,1,4280,"34,981",28.5,14.3,2520,0.90,0.00,0.00,-0.20,0.00,0.00,,3540,"28,932",1180,"9,644",-,#VALUE!,#VALUE!,1180,1680,0.20,-0.50,0.00,0.00,0.00,0.00,150,100,50.0,3.0,(近距離)武器・道具・特殊攻撃,1,35,0.21,0,普通,体力条件強化(以下/被ダメカット),HP50/40,0,根性,1,4,近距離,単体,1,0.22,近距離,単体,1,0.22,敵,All,All,23.5,-,-,-,-,攻撃(必殺),-,敵,All,All,200,-,"57,864","2,596",0,ノックバック,3.00,-,-,-,-,-,-
2.5次元の誘惑,羽生 まゆり,chara_yuw_00201,PremiumSSR,青,テクニカル,近距離,dageki_2,dageki_1,202511020_【クリスマス】2.5次元の誘惑,2.5次元の誘惑いいジャン祭,※,535,600,中コスト,-100,20.0,15.0,10.9,415,8.3,0.0,0.0,0.0,215,4.3,0.0,0.00,0.0,870,17.4,0.0,6.8,0.0,4.5,12.9,1,1130,"8,616",7.5,3.8,1610,-0.30,0.00,0.00,0.00,0.00,0.00,,1180,"8,997",1180,"8,997",-,#VALUE!,#VALUE!,1180,1070,0.00,0.10,0.00,0.00,0.00,0.00,50,50,0.0,1.0,(近距離)武器・道具・特殊攻撃,3,35,0.31,0,普通,火傷ダメージ軽減,40,0,-,-,-,近距離,単体,1,0.32,近距離,範囲(中),0.65,0.52,敵,All,All,17.4,-,-,-,瞬間型,攻撃(必殺),瞬間型,敵,All,All,117,-,"10,526",653,"3,266",攻撃力Down,30.00,4.5,-,-,-,-,-
2.5次元の誘惑,勇気を纏うコスプレ 乃愛,chara_yuw_00301,PremiumUR,青,サポート,近距離,dageki_2,-,202511020_【クリスマス】2.5次元の誘惑,2.5次元の誘惑いいジャン祭,※,515,600,中コスト,-150,40.0,25.0,10.4,310,6.2,0.0,-0.6,0.0,390,7.8,4.5,-0.31,0.0,400,8.0,-31.7,30.0,0.0,20.0,-12.0,0,930,"7,600",6.2,3.1,1550,-0.40,0.00,0.00,0.00,0.00,0.00,,1400,"11,442",930,"7,628","11,442",#VALUE!,#VALUE!,930,1030,0.00,-0.30,0.00,0.20,0.00,0.00,75,75,0.0,1.5,(近距離)素手,2,35,0.27,0,普通,火傷ダメージ軽減,65,0,ダメージコマ無効化,-,4,近距離,単体,1,0.28,自身と１つ後ろまでのコマにいる味方,"範囲(コマ)-1,0",-,"(コマ)-1,0",味方,All,All,8.0,-,-,-,※特殊調整,攻撃力UP(青),※特殊調整,味方,All,All,50,20.0,-,0,0,攻撃力UP(同属性以外),30.00,0,-,-,-,-,-
2.5次元の誘惑,753♡,chara_yuw_00501,DropSR,赤,サポート,近距離,dageki_2,-,202511020_【クリスマス】2.5次元の誘惑,2.5次元の誘惑いいジャン祭,※,475,600,中コスト,-150,10.0,15.0,9.4,315,6.3,0.0,0.0,0.0,165,3.3,0.0,0.00,0.0,765,15.3,0.0,6.0,0.0,4.0,11.3,1,860,"5,944",5.7,2.9,1430,-0.40,0.00,0.00,0.00,0.00,0.00,,1010,"6,982",670,"4,654",-,#VALUE!,#VALUE!,670,950,0.00,-0.30,0.00,0.00,0.00,0.00,75,75,0.0,1.5,(近距離)武器・道具・特殊攻撃,2,35,0.27,-0.05,普通,火傷ダメージ軽減,30,2,-,-,-,近距離,単体,1,0.28,自身と同じコマにいる味方,範囲(コマ)0,-,(コマ)0,味方,赤,All,15.3,-,-,-,瞬間型,ダメージカット(赤),瞬間型,味方,赤,All,23,4.0,-,0,0,-,-,-,-,-,-,-,-
2.5次元の誘惑,奥村 正宗,chara_yuw_00601,DropSR,黄,ディフェンス,近距離,dageki_1,-,202511020_【クリスマス】2.5次元の誘惑,2.5次元の誘惑いいジャン祭,※,445,600,中コスト,-180,10.0,15.0,8.6,935,18.7,0.0,0.0,0.0,490,9.8,0.0,0.00,0.0,1100,22.0,0.0,6.0,0.0,4.0,18.0,1,2550,"17,628",17.0,8.5,1340,0.90,0.00,0.00,0.00,0.00,0.00,,660,"4,561",330,"2,281",-,#VALUE!,#VALUE!,330,890,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,(近距離)武器・道具・特殊攻撃,1,35,0.21,0,普通,火傷ダメージ軽減,40,2,-,-,-,近距離,範囲(小),0.75,0.32,自身,自身,該当なし,自身のみ,自身,All,All,22.0,-,-,-,瞬間型,ダメージカット(自身),瞬間型,自身,All,All,23,4.0,-,0,0,-,-,-,-,-,-,-,-
魔都精兵のスレイブ,無窮の鎖 和倉 優希,chara_sur_00801,DropSR,黄,ディフェンス,近距離,dageki_1,dageki_1,202512010_魔都精兵のスレイブ,魔都精兵のスレイブいいジャン祭,※,725,600,中コスト,100,10.0,15.0,15.6,1510,30.2,0.0,0.0,0.0,750,15.0,0.0,0.00,0.0,1530,30.6,0.0,10.2,0.0,-,-,1,4140,"28,620",27.6,13.8,2180,0.90,0.00,0.00,0.00,0.00,0.00,,1460,"10,093",730,"5,046",-,#VALUE!,#VALUE!,730,1450,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,(近距離)素手,1,45,0.16,0,速い,毒ダメージ軽減,40,2,-,-,-,近距離,単体,1,0.17,近距離,単体,1,0.17,敵,All,All,30.6,-,-,-,-,攻撃(必殺),-,敵,All,All,153,-,"15,442",531,0,-,-,-,-,-,-,-,-
魔都精兵のスレイブ,空間を操る六番組組長 出雲 天花,chara_sur_00501,PremiumUR,黄,テクニカル,遠距離,dageki_1,dageki_1,202512010_魔都精兵のスレイブ,魔都精兵のスレイブいいジャン祭,※,665,600,中コスト,0,40.0,25.0,14.1,365,7.3,0.0,0.0,0.0,265,5.3,1.5,0.00,0.0,1140,22.8,1.0,13.8,-2.0,2.5,20.3,1,1000,"8,171",6.7,3.3,2000,-0.30,0.00,-0.30,0.00,0.00,0.10,,4380,"35,799",1460,"11,933",-,#VALUE!,#VALUE!,1460,1330,0.00,0.10,0.00,0.00,0.00,0.00,150,150,0.0,3.0,(遠距離)攻撃を飛ばす系,3,35,0.51,-0.1,普通,毒ダメージ軽減,55,0,突風コマ無効化,-,4,遠距離,単体,1,0.52,遠距離,"範囲(コマ)0,+2",0.45,"(コマ)0,+2",敵,All,All,22.8,-,-,-,-,攻撃(必殺)※コマ,-,敵,All,All,90,-,"32,219","1,529",0,スタン,-,2.5,-,-,-,-,-
魔都精兵のスレイブ,和倉 青羽,chara_sur_00701,DropSR,青,アタック,近距離,dageki_1,dageki_1,202512010_魔都精兵のスレイブ,魔都精兵のスレイブいいジャン祭,※,570,600,中コスト,-50,5.0,15.0,11.8,380,7.6,0.0,0.0,0.0,445,8.9,5.0,0.00,0.0,660,13.2,3.0,0.0,0.0,-,-,0,1030,"7,119",6.9,3.4,1710,-0.20,0.00,0.00,-0.30,0.00,0.10,,910,"6,290",1820,"12,579",-,#VALUE!,#VALUE!,1820,1140,0.30,0.30,0.00,0.00,0.00,0.00,25,50,-25.0,0.5,(近距離)素手,2,50,0.24,0,速い,毒ダメージ軽減,20,2,-,-,-,近距離,単体,1,0.25,中距離,範囲(中),0.65,0.45,敵,All,All,13.2,-,-,-,-,連続攻撃,-,敵,All,All,117,-,"7,359",576,"2,882",-,-,-,-,-,-,-,-
魔都精兵のスレイブ,東 八千穂,chara_sur_00601,PremiumSSR,赤,テクニカル,中距離,shageki_1,dageki_1,202512010_魔都精兵のスレイブ,魔都精兵のスレイブいいジャン祭,※,445,600,中コスト,-200,30.0,15.0,8.6,295,5.9,0.0,0.0,0.0,230,4.6,1.5,0.00,0.0,905,18.1,0.0,9.1,0.0,2.3,15.8,1,800,"6,100",5.3,2.7,1340,-0.30,0.00,-0.10,0.00,0.00,0.00,,1470,"11,208",980,"7,472",-,#VALUE!,#VALUE!,980,890,0.00,0.10,0.00,0.00,0.00,0.00,75,75,0.0,1.5,(中距離)特殊攻撃・投げ物・長物,3,40,0.41,0,普通-速い,毒ダメージ軽減,40,0,-,-,-,中距離,単体,1,0.42,中距離,範囲(中),0.65,0.62,敵,All,All,18.1,-,-,-,-,攻撃(必殺),-,敵,All,All,117,-,"13,113",782,"3,909",スタン,-,2.3,-,-,-,-,-
2.5次元の誘惑,愛届ける聖夜のサンタ 橘 美花莉,chara_yuw_00102,FestivalUR,緑,サポート,近距離,dageki_1,-,202512015_202511020_クリスマス衣装用2.5次元の誘惑,2025年 クリスマス限定ガシャ,※,765,600,中コスト,125,10.0,30.0,16.6,675,13.5,0.0,0.0,0.0,855,17.1,10.0,0.00,0.0,1000,20.0,3.0,3.4,0.0,-,-,0,1840,"15,340",12.3,6.1,2300,-0.40,0.00,0.00,0.00,0.00,0.20,,1550,"12,923",1030,"8,615",-,#VALUE!,#VALUE!,1030,1530,0.00,-0.30,0.00,0.20,0.00,0.00,75,75,0.0,1.5,(近距離)武器・道具・特殊攻撃,2,35,0.32,0,速い,火傷ダメージ軽減,75,0,スタン攻撃無効化,70,4,近距離,範囲(小),0.75,0.43,近距離,範囲(大),0.55,0.63,,,,20.0,ダメージコマ無効化,-,6,,攻撃(必殺),-,敵,All,All,127,-,"16,412",832,"4,159",オブジェクト生成,※設計書記載,-,-,-,-,-,-
【推しの子】,B小町不動のセンター アイ,chara_osh_00001,FestivalUR,赤,テクニカル,中距離,shageki_1,-,202512020_推しの子＆年末＆正月,【推しの子】いいジャン祭,※,900,1000,高コスト,-145,20.0,25.0,20.0,790,15.8,0.0,0.0,0.0,640,12.8,4.5,0.00,0.0,1770,35.4,2.0,18.6,0.0,7.5,27.9,1,2160,"18,009",14.4,7.2,2700,-0.30,0.00,-0.10,0.00,0.00,0.20,,3520,"29,348",1760,"14,674",-,#VALUE!,#VALUE!,1760,1800,0.00,0.10,0.00,0.20,0.00,0.00,100,75,25.0,2.0,(中距離)特殊攻撃・投げ物・長物,3,35,0.41,0,普通,スタン攻撃無効化,45,0,突風コマ無効化,-,4,中距離,範囲(小),0.75,0.52,中距離,"範囲(コマ)0,+2",0.45,"(コマ)0,+2",,,,35.4,ダメージコマ無効化,-,6,,攻撃(必殺),-,敵,All,All,92,-,"27,000",815,"4,075",攻撃力Down,50.00,7.5,※特殊調整,-,-,-,-
【推しの子】,ぴえヨン,chara_osh_00601,DropSR,緑,ディフェンス,近距離,dageki_1,dageki_2,202512020_推しの子＆年末＆正月,【推しの子】いいジャン祭,※,800,1000,高コスト,-230,15.0,15.0,17.5,1720,34.4,0.0,0.0,0.0,750,15.0,0.0,0.00,0.0,1265,25.3,-7.0,11.5,-2.3,2,-,1,5280,"36,501",35.2,17.6,2400,0.90,0.00,0.00,0.20,0.10,0.00,,960,"6,636",480,"6,994",-,#VALUE!,#VALUE!,480,1600,-0.20,-0.50,0.00,,,0.00,100,100,0.0,2.0,(近距離)素手,1,47,0.17,,速い,火傷ダメージ軽減,40,2,-,-,-,近距離,単体,1,0.18,近距離,単体,1,0.18,敵,All,All,25.3,-,-,-,-,連続攻撃,-,敵,All,All,173,-,"11,480",473,0,ノックバック,1.00,-,-,-,-,-,-
【推しの子】,復讐を誓う片星 星野 アクア,chara_osh_00101,PremiumUR,無,スペシャル,該当なし,-,dageki_2,202512020_推しの子＆年末＆正月,【推しの子】いいジャン祭,※,750,600,中コスト,150,0.0,0.0,16.3,825,16.5,0.0,0.0,0.0,430,8.6,0.0,0.00,0.0,755,15.1,0.0,0.0,0.0,0.1,15,1,2250,"18,388",15.0,7.5,2250,0.00,0.00,0.00,0.00,0.00,0.00,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,1500,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,-,該当なし,該当なし,#VALUE!,0,-,-,-,-,-,-,-,該当なし,,-,#VALUE!,タップしたコマ,"範囲(コマ)0,+1",-,"(コマ)0,+1",敵,All,All,-,-,-,-,SP専用,コマ指定固定ダメージ,SP専用,敵,All,All,30000,-,-,0,0,再召喚時間短縮,2.50,-,-,-,-,-,-
【推しの子】,星野 ルビー,chara_osh_00201,PremiumSSR,赤,アタック,近距離,dageki_2,-,202512020_推しの子＆年末＆正月,【推しの子】いいジャン祭,※,535,600,中コスト,-75,10.0,0.0,10.9,500,10.0,0.0,0.0,0.0,240,4.8,0.0,-0.46,0.0,1455,29.1,12.5,4.8,0.0,3.2,25.9,1,1370,"10,445",9.1,4.6,1610,-0.20,0.00,0.00,0.00,0.00,0.05,,1770,"13,497",1770,"13,497","21,595",#VALUE!,#VALUE!,1770,1070,0.00,0.30,0.10,0.25,0.00,0.00,50,50,0.0,1.0,(近距離)武器・道具・特殊攻撃,2,35,0.29,0,普通,体力条件強化(以上/攻撃),HP50/20,0,-,-,-,近距離,単体,1,0.3,自身,自身,該当なし,自身のみ,自身,All,All,29.1,-,-,-,※特殊調整,攻撃力UP(自身),※特殊調整,自身,All,All,60,3.2,-,0,0,-,-,-,-,-,-,-,-
【推しの子】,有馬 かな,chara_osh_00401,PremiumSSR,緑,テクニカル,近距離,dageki_2,dageki_2,202512020_推しの子＆年末＆正月,【推しの子】いいジャン祭,※,370,200,低コスト,125,30.0,15.0,6.8,275,5.5,0.4,0.0,0.0,225,4.5,1.8,0.00,0.0,640,12.8,0.9,3.5,0.0,2.3,10.5,1,700,"5,337",4.7,2.3,1110,-0.30,0.08,0.00,-0.15,0.00,0.00,,870,"6,633",870,"6,633",-,#VALUE!,#VALUE!,870,740,0.15,0.10,0.00,0.00,-0.08,0.00,50,50,0.0,1.0,(近距離)武器・道具・特殊攻撃,3,30,0.32,0,普通-遅い,火傷ダメージ軽減,40,0,-,-,-,近距離,単体,1,0.33,近距離,範囲(中),0.65,0.53,敵,All,All,12.8,-,-,-,,攻撃(必殺),-,敵,All,All,117,-,"7,761",651,"3,254",スタン,-,2.3,-,-,-,-,-
【推しの子】,MEMちょ,chara_osh_00301,PremiumSSR,黄,サポート,近距離,dageki_1,-,202512020_推しの子＆年末＆正月,【推しの子】いいジャン祭,※,350,200,低コスト,130,10.0,10.0,6.3,270,5.4,-1.1,0.0,0.0,170,3.4,0.0,0.00,0.0,1300,26.0,0.0,16.5,0.0,11.0,15.0,1,890,"6,785",5.9,3.0,1050,-0.40,0.70,0.00,-0.45,0.00,0.00,,630,"4,804",420,"3,202",-,#VALUE!,#VALUE!,320,700,0.45,-0.30,0.00,0.00,-0.70,0.00,75,75,0.0,1.5,(近距離)素手,2,35,0.27,0,普通,ダメージコマ無効化,-,0,-,-,-,近距離,単体,1,0.28,自身と同じコマにいる味方,"範囲(コマ)0,+1",0.6,"(コマ)0,+1",味方,黄,All,26.0,-,-,-,持続型,ダメージカット(黄),持続型,味方,黄,All,10,11.0,-,0,0,-,-,-,-,-,-,-,-
【推しの子】,黒川 あかね,chara_osh_00501,PremiumSSR,青,テクニカル,近距離,dageki_1,dageki_1,202512020_推しの子＆年末＆正月,【推しの子】いいジャン祭,※,335,200,低コスト,100,20.0,15.0,5.9,320,6.4,0.0,0.0,0.0,165,3.3,0.0,0.00,0.0,1795,35.9,4.0,22.5,0.0,15.0,20.9,1,870,"6,633",5.8,2.9,1010,-0.30,0.08,0.00,0.08,0.00,0.00,,630,"4,804",630,"4,804",-,#VALUE!,#VALUE!,630,670,-0.08,0.10,0.00,0.00,-0.08,0.00,50,50,0.0,1.0,(近距離)武器・道具・特殊攻撃,3,35,0.31,0,普通,スタン攻撃無効化,40,0,-,-,-,近距離,単体,1,0.32,中距離,範囲(中),0.65,0.52,,,,35.9,-,-,-,,攻撃(必殺),-,敵,All,All,120,-,"5,764",177,884,攻撃力Down,10.00,15,超持続型,範囲(中),0.37,敵,All
地獄楽,賊王 亜左 弔兵衛,chara_jig_00401,PremiumUR,無,テクニカル,近距離,zangeki_1,zangeki_1,202601010_地獄楽,地獄楽いいジャン祭,※,1000,1000,高コスト,-120,60.0,60.0,22.5,770,15.4,0.0,0.0,0.0,655,13.1,5.0,0.00,0.0,1140,22.8,0.0,8.3,0.0,5.5,17.3,1,2100,"17,163",14.0,7.0,3000,-0.30,0.00,0.00,0.00,0.00,0.00,,2500,"20,432",2500,"20,432",-,#VALUE!,#VALUE!,2500,2000,0.00,0.10,0.00,0.15,0.00,0.00,50,50,0.0,1.0,(近距離)武器・道具・特殊攻撃,3,30,0.31,0,普通-遅い,体力条件強化(以上/被ダメカット),HP70/40,0,体力条件強化(以下/攻撃),HP69/35,4,近距離,単体,1,0.32,近距離,範囲(中),0.65,0.52,,,,22.8,-,-,-,,攻撃(必殺),-,敵,All,All,130,-,"26,562","1,217","6,085",弱体化,50.00,5.5,-,-,-,-,-
地獄楽,メイ,chara_jig_00701,DropSR,無,スペシャル,該当なし,-,-,202601010_地獄楽,地獄楽いいジャン祭,※,650,600,中コスト,30,20.0,0.0,13.8,715,14.3,0.0,0.0,0.0,375,7.5,0.0,0.00,0.0,700,14.0,0.0,0.0,0.0,1.0,13.0,1,1950,"13,479",13.0,6.5,1950,0.00,0.00,0.00,0.00,0.00,0.00,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,-,#VALUE!,#VALUE!,#VALUE!,1300,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,-,該当なし,該当なし,#VALUE!,0,-,-,-,-,-,-,-,該当なし,,-,#VALUE!,タップしたコマ,タップしたコマ,-,タップしたコマ,味方,All,All,-,-,-,-,-,HP回復(割合),SP専用,味方,All,All,20,-,-,0,0,-,-,-,-,-,-,-,-
地獄楽,山田浅ェ門 桐馬,chara_jig_00501,PremiumSSR,緑,サポート,近距離,zangeki_1,-,202601010_地獄楽,地獄楽いいジャン祭,※,605,600,中コスト,-25,20.0,10.0,12.6,425,8.5,0.0,0.0,0.0,395,7.9,3.5,0.00,0.0,1740,34.8,0.0,24.0,0.0,16.0,18.8,0,1160,"8,844",7.7,3.9,1820,-0.40,0.15,0.00,-0.11,0.00,0.00,,1200,"9,149",800,"6,099","7,014",#VALUE!,#VALUE!,800,1210,0.11,-0.30,0.00,0.00,-0.15,0.00,75,75,0.0,1.5,(近距離)武器・道具・特殊攻撃,2,30,0.32,0,普通-遅い,突風コマ無効化,-,0,-,-,-,近距離,単体,1,0.33,自身と１つ先のコマにいる味方,"範囲(コマ)0,+1",0.6,"(コマ)0,+1",,,,34.8,-,-,-,,攻撃力UP,安定型,味方,緑,All,15,8.0,-,0,0,ダメージカット,15.00,8.0,-,-,-,-,-
地獄楽,民谷 巌鉄斎,chara_jig_00601,DropSR,青,ディフェンス,近距離,zangeki_1,zangeki_1,202601010_地獄楽,地獄楽いいジャン祭,※,440,600,中コスト,-200,20.0,20.0,8.5,920,18.4,0.0,0.0,0.0,480,9.6,0.0,0.00,0.0,1195,23.9,0.0,8.0,0.0,-,-,1,2510,"17,352",16.7,8.4,1320,0.90,0.00,0.00,0.00,0.00,0.00,,880,"6,082",440,"3,041",-,#VALUE!,#VALUE!,440,880,0.00,-0.50,0.00,0.00,0.00,0.00,100,100,0.0,2.0,(近距離)武器・道具・特殊攻撃,1,35,0.21,0,普通,ノックバック無効化,-,2,-,-,-,近距離,単体,1,0.22,近距離,単体,1,0.22,,,,23.9,-,-,-,,攻撃(必殺),-,敵,All,All,153,-,"9,306",415,0,ノックバック,1.00,-,-,-,-,-,-
幼稚園WARS,元殺し屋の新人教諭 リタ,chara_you_00001,PremiumUR,赤,アタック,中距離,dageki_1,shageki_1,202602010_幼稚園WARS,幼稚園WARS いいジャン祭,※,960,1000,高コスト,-100,15.0,45.0,21.5,740,14.8,0.0,0.0,0.0,355,7.1,0.0,-0.67,0.0,890,17.8,0.0,3.6,0.0,-,-,1,2020,"16,509",13.5,6.7,2880,-0.20,0.00,-0.10,0.00,0.00,0.00,,4040,"33,020",2690,"22,013",-,#VALUE!,#VALUE!,2690,1920,0.00,0.30,0.10,0.00,0.00,0.00,75,75,0.0,1.5,(中距離)素手・武器・道具,2,45,0.34,0,速い,体力条件強化(以下/攻撃),HP30/55,0,毒ダメージ軽減,40,4,中距離,単体,1,0.35,中距離,単体,1,0.35,,,,17.8,-,-,-,,連続攻撃,-,敵,All,All,160,-,"52,831","3,152",0,キラー攻撃(緑),360.00,-,-,-,-,-,-
幼稚園WARS,ルーク,chara_you_00101,PremiumSSR,黄,テクニカル,近距離,dageki_1,shageki_1,202602010_幼稚園WARS,幼稚園WARS いいジャン祭,※,750,600,中コスト,115,25.0,10.0,16.3,515,10.3,0.0,0.0,0.0,350,7.0,1.6,0.00,0.0,1465,29.3,0.0,19.8,-2.4,-,-,1,1400,"10,675",9.3,4.7,2250,-0.30,0.00,0.00,-0.08,0.00,0.00,,2300,"17,537",1770,"13,490",-,#VALUE!,#VALUE!,1770,1500,0.08,0.10,0.00,0.00,0.00,0.00,65,50,15.0,1.3,(近距離)素手,3,40,0.26,0,普通-速い,攻撃DOWNコマ無効化,-,0,-,-,-,近距離,単体,1,0.27,近距離,範囲(中),0.65,0.47,,,,29.3,-,-,-,,連続攻撃,-,敵,All,All,130,-,"22,799",843,"4,213",毒,2.00,12,-,-,-,-,-
幼稚園WARS,ハナ,chara_you_00301,DropSR,青,アタック,近距離,dageki_1,shageki_1,202602010_幼稚園WARS,幼稚園WARS いいジャン祭,※,735,600,中コスト,100,20.0,15.0,15.9,650,13.0,0.0,0.0,0.0,340,6.8,0.0,0.00,0.0,670,13.4,0.0,0.0,0.0,-,-,1,1770,"12,236",11.8,5.9,2210,-0.20,0.00,0.00,0.00,0.00,0.00,,1910,"13,203",1910,"13,203",-,#VALUE!,#VALUE!,1910,1470,0.00,0.30,0.00,0.00,0.00,0.00,50,50,0.0,1.0,(近距離)武器・道具・特殊攻撃,2,35,0.29,0,普通,スタン攻撃無効化,25,2,-,-,-,近距離,単体,1,0.3,中距離,範囲(中),0.65,0.5,,,,13.4,-,-,-,,攻撃(必殺),-,敵,All,All,68,-,"8,978",707,"3,534",キラー攻撃(赤),115.60,-,-,-,-,-,-
