そのまま,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
脳死で元の関数を引っ張っただけ。元の関数が終点に対して曲げる関数なので正しい使い方ではないが、これまでの上昇傾向と同じにはなっている(ただし、どこかのタイミングで急激に上昇し始めてしまう),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
→こっちでいくになった,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,探索詳細設計,,,6分=1スタミナ回復,,"( $B$19+($C$19-$B$19) * Pow( (C82-1) / ($C$16-1), $F$19) )",,,シミュレーター,,※獲得時、少数以下は切り捨てます。　,,,,,,,,,,,,,,探索画面表示,※少数第3位まで表示されます,,,,,,,,
,,9-5,43.000,15.005,15.005,11.340,11.340,2160.000,2160.000,1632.000,1632.000,,推しの子24h獲得コイン(調整),,,"5,134",32.05,16.03,,,,,,,,,,,,,,,,
,,9-6,44.000,15.496,15.496,11.664,11.664,2231.000,2231.000,1679.000,1679.000,,,,,,,,,,,,,,,,,,,,,,,
,魔都精兵のスレイブ,10-1,45.000,15.993,15.993,11.991,11.991,2302.000,2302.000,1726.000,1726.000,,,,,,,,,,,,,,,,,,,,,,,
,,10-2,46.000,16.496,16.496,12.319,12.319,2375.000,2375.000,1773.000,1773.000,,,,,,,,,,,,,,,,,,,,,,,
,,10-3,47.000,17.004,17.004,12.649,12.649,2448.000,2448.000,1821.000,1821.000,,,,,,,,,,,,,,,,,,,,,,,
,,10-4,48.000,17.519,17.519,12.981,12.981,2522.000,2522.000,1869.000,1869.000,,,,,,,,,,,,,,,,,,,,,,,
,,10-5,49.000,18.039,18.039,13.314,13.314,2597.000,2597.000,1917.000,1917.000,,,,,,,,,,,,,,,,,,,,,,,
,,10-6,50.000,18.565,18.565,13.650,13.650,2673.000,2673.000,1965.000,1965.000,,,,,,,,,,,,,,,,,,,,,,,
,トマトイプーのリコピン,11-1,51.000,19.096,19.096,13.987,13.987,2749.000,2749.000,2014.000,2014.000,,,,,,,,,,,,,,,,,,,,,,,
,,11-2,52.000,19.633,19.633,14.326,14.326,2827.000,2827.000,2062.000,2062.000,,,,,,,,,,,,,,,,,,,,,,,
,,11-3,53.000,20.176,20.176,14.667,14.667,2905.000,2905.000,2112.000,2112.000,,,,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト3",12-1,54.000,20.724,20.724,15.010,15.010,2984.000,2984.000,2161.000,2161.000,,,,,,,,,,,,,,,,,,,,,,,
,,12-2,55.000,21.277,21.277,15.354,15.354,3063.000,3063.000,2210.000,2210.000,,,,,,,,,,,,,,,,,,,,,,,
,,12-3,56.000,21.836,21.836,15.700,15.700,3144.000,3144.000,2260.000,2260.000,,,,,,,,,,,,,,,,,,,,,,,
,株式会社マジルミエ,13-1,57.000,22.400,22.400,16.047,16.047,3225.000,3225.000,2310.000,2310.000,,,,,,,,,,,,,,,,,,,,,,,
,,13-2,58.000,22.969,22.969,16.396,16.396,3307.000,3307.000,2361.000,2361.000,,,,,,,,,,,,,,,,,,,,,,,
,,13-3,59.000,23.543,23.543,16.747,16.747,3390.000,3390.000,2411.000,2411.000,,,,,,,,,,,,,,,,,,,,,,,
,,13-4,60.000,24.123,24.123,17.099,17.099,3473.000,3473.000,2462.000,2462.000,,,,,,,,,,,,,,,,,,,,,,,
,,13-5,61.000,24.708,24.708,17.453,17.453,3557.000,3557.000,2513.000,2513.000,,,,,,,,,,,,,,,,,,,,,,,
,,13-5,62.000,25.298,25.298,17.808,17.808,3642.000,3642.000,2564.000,2564.000,,,,,,,,,,,,,,,,,,,,,,,
,サマータイムレンダ,14-1,63.000,25.892,25.892,18.165,18.165,3728.000,3728.000,2615.000,2615.000,,,,,,,,,,,,,,,,,,,,,,,
,,14-2,64.000,26.492,26.492,18.524,18.524,3814.000,3814.000,2667.000,2667.000,,,,,,,,,,,,,,,,,,,,,,,
,,14-3,65.000,27.097,27.097,18.883,18.883,3901.000,3901.000,2719.000,2719.000,,,,,,,,,,,,,,,,,,,,,,,
,,14-4,66.000,27.706,27.706,19.245,19.245,3989.000,3989.000,2771.000,2771.000,,,,,,,,,,,,,,,,,,,,,,,
,,14-5,67.000,28.321,28.321,19.607,19.607,4078.000,4078.000,2823.000,2823.000,,,,,,,,,,,,,,,,,,,,,,,
,,14-6,68.000,28.940,28.940,19.971,19.971,4167.000,4167.000,2875.000,2875.000,,,,,,,,,,,,,,,,,,,,,,,
,怪獣８号,15-1,69.000,29.564,29.564,20.337,20.337,4257.000,4257.000,2928.000,2928.000,,,,,,,,,,,,,,,,,,,,,,,
,,15-2,70.000,30.193,30.193,20.704,20.704,4347.000,4347.000,2981.000,2981.000,,,,,,,,,,,,,,,,,,,,,,,
,,15-3,71.000,30.827,30.827,21.072,21.072,4439.000,4439.000,3034.000,3034.000,,,,,,,,,,,,,,,,,,,,,,,
,,15-4,72.000,31.465,31.465,21.442,21.442,4530.000,4530.000,3087.000,3087.000,,,,,,,,,,,,,,,,,,,,,,,
,,15-5,73.000,32.108,32.108,21.813,21.813,4623.000,4623.000,3141.000,3141.000,,,,,,,,,,,,,,,,,,,,,,,
,,15-6,74.000,32.755,32.755,22.185,22.185,4716.000,4716.000,3194.000,3194.000,,,,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト4",16-1,75.000,33.407,33.407,22.559,22.559,4810.000,4810.000,3248.000,3248.000,,,,,,,,,,,,,,,,,,,,,,,
,,16-2,76.000,34.064,34.064,22.934,22.934,4905.000,4905.000,3302.000,3302.000,,,,,,,,,,,,,,,,,,,,,,,
,,16-3,77.000,34.725,34.725,24.310,24.310,5000.000,5000.000,3500.000,3500.000,,,,,,,,,,,,,,,,,,,,,,,
,【推しの子】,17-1,78.000,35.391,34.904,25.063,24.480,5096.000,5026.000,3609.000,3525.000,,,,,,,,,,,,,,,,,,,,,,,
,,17-2,79.000,36.061,35.232,25.442,24.714,5192.000,5073.000,3663.000,3558.000,,,,,,,,,,,,,,,,,,,,,,,
,,17-3,80.000,36.735,35.657,25.822,24.981,5289.000,5134.000,3718.000,3597.000,,,,,,,,,,,,,,,,,,,,,,,
,2,17-1,81.000,37.414,36.160,26.203,25.272,5387.000,5207.000,3773.000,3639.000,,,,,,,,,,,,,,,,,,,,,,,
,,17-2,82.000,38.097,36.730,26.586,25.581,5485.000,5289.000,3828.000,3683.000,,,,,,,,,,,,,,,,,,,,,,,
,,17-3,83.000,38.785,37.361,26.970,25.907,5585.000,5379.000,3883.000,3730.000,,,,,,,,,,,,,,,,,,,,,,,
,3,17-1,84.000,39.477,38.047,27.354,26.246,5684.000,5478.000,3938.000,3779.000,,,,,,,,,,,,,,,,,,,,,,,
,,17-2,85.000,40.173,38.784,27.741,26.598,5784.000,5584.000,3994.000,3830.000,,,,,,,,,,,,,,,,,,,,,,,
,,17-3,86.000,40.873,39.568,28.128,26.961,5885.000,5697.000,4050.000,3882.000,,,,,,,,,,,,,,,,,,,,,,,
,4,17-1,87.000,41.578,40.397,28.516,27.334,5987.000,5817.000,4106.000,3936.000,,,,,,,,,,,,,,,,,,,,,,,
,,17-2,88.000,42.287,41.269,28.906,27.717,6089.000,5942.000,4162.000,3991.000,,,,,,,,,,,,,,,,,,,,,,,
,,17-3,89.000,43.000,42.181,29.296,28.108,6192.000,6074.000,4218.000,4047.000,,,,,,,,,,,,,,,,,,,,,,,
,5,17-1,90.000,43.717,43.132,29.688,28.508,6295.000,6211.000,4275.000,4105.000,,,,,,,,,,,,,,,,,,,,,,,
,,17-2,91.000,44.438,44.121,30.081,28.915,6399.000,6353.000,4331.000,4163.000,,,,,,,,,,,,,,,,,,,,,,,
,,17-3,92.000,45.164,45.145,30.475,29.520,6503.000,6500.000,4388.000,4250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"積立コイン
（10分）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,関数,調整,,,,関数,調整,,,,,,,,,,,,,,,,,,,,,,,,
,チュートリアル,0-1,1,2.000,2.000,,,1,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,,0-2,2,2.000,2.000,,,2,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
,SPY×FAMILY,1-1,3,2.000,2.000,,,3,1.000,1.000,,,,,,,,,,,,,,,,,,,,,,,,
,,1-2,4,2.051,2.051,,,4,1.103,1.103,,,,,,,,,,,,,,,,,,,,,,,,
,,1-3,5,2.145,2.145,,,5,1.244,1.244,,,,,,,,,,,,,,,,,,,,,,,,
,,1-4,6,2.267,2.267,,,6,1.406,1.406,,,,,,,,,,,,,,,,,,,,,,,,
,,1-5,7,2.411,2.411,,,7,1.581,1.581,,,,,,,,,,,,,,,,,,,,,,,,
,,1-6,8,2.575,2.575,,,8,1.769,1.769,,,,,,,,,,,,,,,,,,,,,,,,
,姫様”拷問”の時間です,2-1,9,2.756,2.756,,,9,1.965,1.965,,,,,,,,,,,,,,,,,,,,,,,,
,,2-2,10,2.952,2.952,,,10,2.170,2.170,,,,,,,,,,,,,,,,,,,,,,,,
,,2-3,11,3.163,3.163,,,11,2.383,2.383,,,,,,,,,,,,,,,,,,,,,,,,
,,2-4,12,3.388,3.388,,,12,2.602,2.602,,,,,,,,,,,,,,,,,,,,,,,,
,,2-5,13,3.626,3.626,,,13,2.828,2.828,,,,,,,,,,,,,,,,,,,,,,,,
,,2-6,14,3.876,3.876,,,14,3.059,3.059,,,,,,,,,,,,,,,,,,,,,,,,
,ラーメン赤猫,3-1,15,4.137,4.137,,,15,3.296,3.296,,,,,,,,,,,,,,,,,,,,,,,,
,,3-2,16,4.410,4.410,,,16,3.537,3.537,,,,,,,,,,,,,,,,,,,,,,,,
,,3-3,17,4.693,4.693,,,17,3.784,3.784,,,,,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト１",4-1,18,4.987,4.987,,,18,4.034,4.034,,,,,,,,,,,,,,,,,,,,,,,,
,,4-2,19,5.290,5.290,,,19,4.289,4.289,,,,,,,,,,,,,,,,,,,,,,,,
,,4-3,20,5.603,5.603,,,20,4.548,4.548,,,,,,,,,,,,,,,,,,,,,,,,
,ダンダダン,5-1,21,5.926,5.926,,,21,4.811,4.811,,,,,,,,,,,,,,,,,,,,,,,,
,,5-2,22,6.258,6.258,,,22,5.078,5.078,,,,,,,,,,,,,,,,,,,,,,,,
,,5-3,23,6.598,6.598,,,23,5.348,5.348,,,,,,,,,,,,,,,,,,,,,,,,
,,5-4,24,6.947,6.947,,,24,5.621,5.621,,,,,,,,,,,,,,,,,,,,,,,,
,,5-5,25,7.305,7.305,,,25,5.898,5.898,,,,,,,,,,,,,,,,,,,,,,,,
,,5-6,26,7.671,7.671,,,26,6.177,6.177,,,,,,,,,,,,,,,,,,,,,,,,
,地獄楽,6-1,27,8.044,8.044,,,27,6.460,6.460,,,,,,,,,,,,,,,,,,,,,,,,
,,6-2,28,8.426,8.426,,,28,6.746,6.746,,,,,,,,,,,,,,,,,,,,,,,,
,,6-3,29,8.815,8.815,,,29,7.035,7.035,,,,,,,,,,,,,,,,,,,,,,,,
,,6-4,30,9.212,9.212,,,30,7.327,7.327,,,,,,,,,,,,,,,,,,,,,,,,
,,6-5,31,9.617,9.617,,,31,7.621,7.621,,,,,,,,,,,,,,,,,,,,,,,,
,,6-6,32,10.028,10.028,,,32,7.918,7.918,,,,,,,,,,,,,,,,,,,,,,,,
,タコピーの原罪,7-1,33,10.447,10.447,,,33,8.217,8.217,,,,,,,,,,,,,,,,,,,,,,,,
,,7-2,34,10.873,10.873,,,34,8.519,8.519,,,,,,,,,,,,,,,,,,,,,,,,
,,7-3,35,11.306,11.306,,,35,8.823,8.823,,,,,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト2",8-1,36,11.745,11.745,,,36,9.130,9.130,,,,,,,,,,,,,,,,,,,,,,,,
,,8-2,37,12.192,12.192,,,37,9.439,9.439,,,,,,,,,,,,,,,,,,,,,,,,
,,8-3,38,12.645,12.645,,,38,9.751,9.751,,,,,,,,,,,,,,,,,,,,,,,,
,チェンソーマン 一部,9-1,39,13.104,13.104,,,39,10.064,10.064,,,,,,,,,,,,,,,,,,,,,,,,
,,9-2,40,13.570,13.570,,,40,10.380,10.380,,,,,,,,,,,,,,,,,,,,,,,,
,,9-3,41,14.042,14.042,,,41,10.698,10.698,,,,,,,,,,,,,,,,,,,,,,,,
,,9-4,42,14.521,14.521,,,42,11.018,11.018,,,,,,,,,,,,,,,,,,,,,,,,
,,9-5,43,15.005,15.005,,,43,11.340,11.340,,,,,,,,,,,,,,,,,,,,,,,,
,,9-6,44,15.496,15.496,,,44,11.664,11.664,,,,,,,,,,,,,,,,,,,,,,,,
,魔都精兵のスレイブ,10-1,45,15.993,15.993,,,45,11.991,11.991,,,,,,,,,,,,,,,,,,,,,,,,
,,10-2,46,16.496,16.496,,,46,12.319,12.319,,,,,,,,,,,,,,,,,,,,,,,,
,,10-3,47,17.004,17.004,,,47,12.649,12.649,,,,,,,,,,,,,,,,,,,,,,,,
,,10-4,48,17.519,17.519,,,48,12.981,12.981,,,,,,,,,,,,,,,,,,,,,,,,
,,10-5,49,18.039,18.039,,,49,13.314,13.314,,,,,,,,,,,,,,,,,,,,,,,,
,,10-6,50,18.565,18.565,,,50,13.650,13.650,,,,,,,,,,,,,,,,,,,,,,,,
,トマトイプーのリコピン,11-1,51,19.096,19.096,,,51,13.987,13.987,,,,,,,,,,,,,,,,,,,,,,,,
,,11-2,52,19.633,19.633,,,52,14.326,14.326,,,,,,,,,,,,,,,,,,,,,,,,
,,11-3,53,20.176,20.176,,,53,14.667,14.667,,,,,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト3",12-1,54,20.724,20.724,,,54,15.010,15.010,,,,,,,,,,,,,,,,,,,,,,,,
,,12-2,55,21.277,21.277,,,55,15.354,15.354,,,,,,,,,,,,,,,,,,,,,,,,
,,12-3,56,21.836,21.836,,,56,15.700,15.700,,,,,,,,,,,,,,,,,,,,,,,,
,株式会社マジルミエ,13-1,57,22.400,22.400,,,57,16.047,16.047,,,,,,,,,,,,,,,,,,,,,,,,
,,13-2,58,22.969,22.969,,,58,16.396,16.396,,,,,,,,,,,,,,,,,,,,,,,,
,,13-3,59,23.543,23.543,,,59,16.747,16.747,,,,,,,,,,,,,,,,,,,,,,,,
,,13-4,60,24.123,24.123,,,60,17.099,17.099,,,,,,,,,,,,,,,,,,,,,,,,
,,13-5,61,24.708,24.708,,,61,17.453,17.453,,,,,,,,,,,,,,,,,,,,,,,,
,,13-5,62,25.298,25.298,,,62,17.808,17.808,,,,,,,,,,,,,,,,,,,,,,,,
,サマータイムレンダ,14-1,63,25.892,25.892,,,63,18.165,18.165,,,,,,,,,,,,,,,,,,,,,,,,
,,14-2,64,26.492,26.492,,,64,18.524,18.524,,,,,,,,,,,,,,,,,,,,,,,,
,,14-3,65,27.097,27.097,,,65,18.883,18.883,,,,,,,,,,,,,,,,,,,,,,,,
,,14-4,66,27.706,27.706,,,66,19.245,19.245,,,,,,,,,,,,,,,,,,,,,,,,
,,14-5,67,28.321,28.321,,,67,19.607,19.607,,,,,,,,,,,,,,,,,,,,,,,,
,,14-6,68,28.940,28.940,,,68,19.971,19.971,,,,,,,,,,,,,,,,,,,,,,,,
,怪獣８号,15-1,69,29.564,29.564,,,69,20.337,20.337,,,,,,,,,,,,,,,,,,,,,,,,
,,15-2,70,30.193,30.193,,,70,20.704,20.704,,,,,,,,,,,,,,,,,,,,,,,,
,,15-3,71,30.827,30.827,,,71,21.072,21.072,,,,,,,,,,,,,,,,,,,,,,,,
,,15-4,72,31.465,31.465,,,72,21.442,21.442,,,,,,,,,,,,,,,,,,,,,,,,
,,15-5,73,32.108,32.108,,,73,21.813,21.813,,,,,,,,,,,,,,,,,,,,,,,,
,,15-6,74,32.755,32.755,,,74,22.185,22.185,,,,,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト4",16-1,75,33.407,33.407,,,75,22.559,22.559,,,,,,,,,,,,,,,,,,,,,,,,
,,16-2,76,34.064,34.064,,,76,22.934,22.934,,,,,,,,,,,,,,,,,,,,,,,,
,,16-3,77,34.725,34.725,,,77,24.310,24.310,,,,,,,,,,,,,,,,,,,,,,,,
,【推しの子】,17-1,78,34.904,35.391,,,78,24.480,25.063,,,,,,,,,,,,,,,,,,,,,,,,
,,17-2,79,35.232,36.061,,,79,24.714,25.442,,,,,,,,,,,,,,,,,,,,,,,,
,,17-3,80,35.657,36.735,,,80,24.981,25.822,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,メインクエスト名,クエストID-ステージID,,"積立コイン
（10分）","積立EXP
（10分）",想定セグメント,rank,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,チュートリアル,0-1,1.000,2.000,1.00,チュートリアル,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0-2,2.000,2.000,1.00,チュートリアル,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPY×FAMILY,1-1,3.000,2.000,1.000,エントリー①,2,1,1.000,,,1,1.000,,,,,,,,,,,,,,,,,,,,,
,,1-2,4.000,2.051,1.103,エントリー①,3,2,1.103,,,2,1.103,0.103,,,,,,,,,,,,,,,,,,,,
,,1-3,5.000,2.145,1.244,エントリー①,5,3,1.244,,,3,1.244,0.141,,,,,,,,,,,,,,,,,,,,
,,1-4,6.000,2.267,1.406,エントリー①,7,4,1.406,,,4,1.406,0.162,,,,,,,,,,,,,,,,,,,,
,,1-5,7.000,2.411,1.581,エントリー①,8,5,1.581,,,5,1.581,0.175,,,,,,,,,,,,,,,,,,,,
,,1-6,8.000,2.575,1.769,エントリー①,9,6,1.769,,,6,1.769,0.188,,,,,,,,,,,,,,,,,,,,
,姫様”拷問”の時間です,2-1,9.000,2.756,1.965,エントリー①,10,7,1.965,,,7,1.965,0.196,,,,,,,,,,,,,,,,,,,,
,,2-2,10.000,2.952,2.170,エントリー①,12,8,2.170,,,8,2.170,0.205,,,,,,,,,,,,,,,,,,,,
,,2-3,11.000,3.163,2.383,エントリー②,14,9,2.383,,,9,2.383,0.213,,,,,,,,,,,,,,,,,,,,
,,2-4,12.000,3.388,2.602,エントリー②,16,10,2.602,,,10,2.602,0.219,,,,,,,,,,,,,,,,,,,,
,,2-5,13.000,3.626,2.828,エントリー②,18,11,2.828,,,11,2.828,0.226,,,,,,,,,,,,,,,,,,,,
,,2-6,14.000,3.876,3.059,エントリー②,19,12,3.059,,,12,3.059,0.231,,,,,,,,,,,,,,,,,,,,
,ラーメン赤猫,3-1,15.000,4.137,3.296,エントリー②,20,13,3.296,,,13,3.296,0.237,,,,,,,,,,,,,,,,,,,,
,,3-2,16.000,4.410,3.537,エントリー②,24,14,3.537,,,14,3.537,0.241,,,,,,,,,,,,,,,,,,,,
,,3-3,17.000,4.693,3.784,ライト,27,15,3.784,,,15,3.784,0.247,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト１",4-1,18.000,4.987,4.034,ライト,28,16,4.034,,,16,4.034,0.250,,,,,,,,,,,,,,,,,,,,
,,4-2,19.000,5.290,4.289,ライト,29,17,4.289,,,17,4.289,0.255,,,,,,,,,,,,,,,,,,,,
,,4-3,20.000,5.603,4.548,ライト,29,18,4.548,,,18,4.548,0.259,,,,,,,,,,,,,,,,,,,,
,ダンダダン,5-1,21.000,5.926,4.811,ライト,30,19,4.811,,,19,4.811,0.263,,,,,,,,,,,,,,,,,,,,
,,5-2,22.000,6.258,5.078,ライト,30,20,5.078,,,20,5.078,0.267,,,,,,,,,,,,,,,,,,,,
,,5-3,23.000,6.598,5.348,ミドル①,30,21,5.348,,,21,5.348,0.270,,,,,,,,,,,,,,,,,,,,
,,5-4,24.000,6.947,5.621,ミドル①,31,22,5.621,,,22,5.621,0.273,,,,,,,,,,,,,,,,,,,,
,,5-5,25.000,7.305,5.898,ミドル①,31,23,5.898,,,23,5.898,0.277,,,,,,,,,,,,,,,,,,,,
,,5-6,26.000,7.671,6.177,ミドル①,31,24,6.177,,,24,6.177,0.279,,,,,,,,,,,,,,,,,,,,
,地獄楽,6-1,27.000,8.044,6.460,ミドル①,31,25,6.460,,,25,6.460,0.283,,,,,,,,,,,,,,,,,,,,
,,6-2,28.000,8.426,6.746,ミドル①,31,26,6.746,,,26,6.746,0.286,,,,,,,,,,,,,,,,,,,,
,,6-3,29.000,8.815,7.035,ミドル①,32,27,7.035,,,27,7.035,0.289,,,,,,,,,,,,,,,,,,,,
,,6-4,30.000,9.212,7.327,ミドル①,32,28,7.327,,,28,7.327,0.292,,,,,,,,,,,,,,,,,,,,
,,6-5,31.000,9.617,7.621,ミドル①,32,29,7.621,,,29,7.621,0.294,,,,,,,,,,,,,,,,,,,,
,,6-6,32.000,10.028,7.918,ミドル①,33,30,7.918,,,30,7.918,0.297,,,,,,,,,,,,,,,,,,,,
,タコピーの原罪,7-1,33.000,10.447,8.217,ミドル①,33,31,8.217,,,31,8.217,0.299,,,,,,,,,,,,,,,,,,,,
,,7-2,34.000,10.873,8.519,ミドル①,33,32,8.519,,,32,8.519,0.302,,,,,,,,,,,,,,,,,,,,
,,7-3,35.000,11.306,8.823,ミドル①,34,33,8.823,,,33,8.823,0.304,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト2",8-1,36.000,11.745,9.130,ミドル①,35,34,9.130,,,34,9.130,0.307,,,,,,,,,,,,,,,,,,,,
,,8-2,37.000,12.192,9.439,ミドル①,35,35,9.439,,,35,9.439,0.309,,,,,,,,,,,,,,,,,,,,
,,8-3,38.000,12.645,9.751,ミドル①,35,36,9.751,,,36,9.751,0.312,,,,,,,,,,,,,,,,,,,,
,チェンソーマン 一部,9-1,39.000,13.104,10.064,ミドル①,35,37,10.064,,,37,10.064,0.313,,,,,,,,,,,,,,,,,,,,
,,9-2,40.000,13.570,10.380,ミドル②,36,38,10.380,,,38,10.380,0.316,,,,,,,,,,,,,,,,,,,,
,,9-3,41.000,14.042,10.698,ミドル②,36,39,10.698,,,39,10.698,0.318,,,,,,,,,,,,,,,,,,,,
,,9-4,42.000,14.521,11.018,ミドル②,37,40,11.018,,,40,11.018,0.320,,,,,,,,,,,,,,,,,,,,
,,9-5,43.000,15.005,11.340,ミドル②,37,41,11.340,,,41,11.340,0.322,,,,,,,,,,,,,,,,,,,,
,,9-6,44.000,15.496,11.664,ミドル②,38,42,11.664,,,42,11.664,0.324,,,,,,,,,,,,,,,,,,,,
,魔都精兵のスレイブ,10-1,45.000,15.993,11.991,ミドル②,38,43,11.991,,,43,11.991,0.327,,,,,,,,,,,,,,,,,,,,
,,10-2,46.000,16.496,12.319,ミドル②,39,44,12.319,,,44,12.319,0.328,,,,,,,,,,,,,,,,,,,,
,,10-3,47.000,17.004,12.649,ミドル②,39,45,12.649,,,45,12.649,0.330,,,,,,,,,,,,,,,,,,,,
,,10-4,48.000,17.519,12.981,ミドル②,40,46,12.981,,,46,12.981,0.332,,,,,,,,,,,,,,,,,,,,
,,10-5,49.000,18.039,13.314,ミドル②,40,47,13.314,,,47,13.314,0.333,,,,,,,,,,,,,,,,,,,,
,,10-6,50.000,18.565,13.650,ミドル②,41,48,13.650,,,48,13.650,0.336,,,,,,,,,,,,,,,,,,,,
,トマトイプーのリコピン,11-1,51.000,19.096,13.987,ミドル②,41,49,13.987,,,49,13.987,0.337,,,,,,,,,,,,,,,,,,,,
,,11-2,52.000,19.633,14.326,ミドル②,41,50,14.326,,,50,14.326,0.339,,,,,,,,,,,,,,,,,,,,
,,11-3,53.000,20.176,14.667,ミドル②,41,51,14.667,,,51,14.667,0.341,,,,,,,,,,,,,,,,,,,,
,"GLOW
オリジナルクエスト3",12-1,54.000,20.724,15.010,ミドル②,42,52,15.010,,,52,15.010,0.343,,,,,,,,,,,,,,,,,,,,
,,12-2,55.000,21.277,15.354,ミドル②,42,53,15.354,,,53,15.354,0.344,,,,,,,,,,,,,,,,,,,,
,,12-3,56.000,21.836,15.700,ミドル②,42,54,15.700,,,54,15.700,0.346,,,,,,,,,,,,,,,,,,,,
,株式会社マジルミエ,13-1,57.000,22.400,16.047,ミドル②,43,55,16.047,,,55,16.047,0.347,,,,,,,,,,,,,,,,,,,,
,,13-2,58.000,22.969,16.396,ミドル②,43,56,16.396,,,56,16.396,0.349,,,,,,,,,,,,,,,,,,,,
,,13-3,59.000,23.543,16.747,ミドル②,43,57,16.747,,,57,16.747,0.351,,,,,,,,,,,,,,,,,,,,
,,13-4,60.000,24.123,17.099,ミドル②,44,58,17.099,,,58,17.099,0.352,,,,,,,,,,,,,,,,,,,,
,,13-5,61.000,24.708,17.453,ミドル②,44,59,17.453,,,59,17.453,0.354,,,,,,,,,,,,,,,,,,,,
,,13-5,62.000,25.298,17.808,ミドル②,44,60,17.808,,,60,17.808,0.355,,,,,,,,,,,,,,,,,,,,
,サマータイムレンダ,14-1,63.000,25.892,18.165,ミドル②,45,61,18.165,,,61,18.165,0.357,,,,,,2615.00,,,,,,,,,,,,,,
,,14-2,64.000,26.492,18.524,ミドル②,47,62,18.524,,,62,18.524,0.359,,,,,,2667.00,,,,,,,,,,,,,,
,,14-3,65.000,27.097,18.883,コア,49,63,18.883,,,63,18.883,0.359,,,,,,2719.00,,,,,,,,,,,,,,
,,14-4,66.000,27.706,19.245,コア,51,64,19.245,,,64,19.245,0.362,,,,,,2771.00,,,,,,,,,,,,,,
,,14-5,67.000,28.321,19.607,コア,51,65,19.607,,,65,19.607,0.362,,,,,,2823.00,,,,,,,,,,,,,,
,,14-6,68.000,28.940,19.971,コア,53,66,19.971,,,66,19.971,0.364,,,,,,2875.00,,,,,,,,,,,,,,
,怪獣８号,15-1,69.000,29.564,20.337,コア,54,67,20.337,,,67,20.337,0.366,,,,,,2928.00,,,,,,,,,,,,,,
,,15-2,70.000,30.193,20.704,コア,55,68,20.704,,,68,20.704,0.367,,,,,,2981.00,,,,,,,,,,,,,,
,,15-3,71.000,30.827,21.072,コア,56,69,21.072,,,69,21.072,0.368,,,,,,3034.00,,,,,,,,,,,,,,
