作品ID,作品名,識別ID,キャラ_ID,キャラ名（仮）,キャラ名（監修FIX）,必殺ワザ名（監修FIX）,レアリティ,ラベル,属性,キャラ立ち位置,ロール,通常攻撃モーション,攻撃射程,必殺ワザモーション,必殺ワザ発動有無,通常攻撃モーション,通常攻撃発生,必殺攻撃モーション,必殺攻撃発生,valid_start_date,valid_end_date,catch_copy_image_filename,ノーマル敵専用アイコン_ID,BOSS専用アイコン_ID,通常攻撃Asset,必殺ワザAsset
aya,あやかしトライアングル,00001,chara_aya_00001,風巻 祭里,一子相伝の風使い 風巻 祭里,風巻流・祓忍法 螺旋突,UR,PremiumUR,赤,chara,テクニカル,zangeki_1,,zangeki_1,,1.37,stop有 :1回目 0.55,2.75,"stop有:1回目 0.38
stop無:2回目 1.5",2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_aya_00001.png,enemy_icon_chara_aya_00001,boss_icon_chara_aya_00001,,
aya,あやかしトライアングル,00101,chara_aya_00101,花奏 すず,花奏 すず,妖巫女の覚悟,SSR,PremiumSSR,赤,chara,ディフェンス,zangeki_1,,zangeki_1,,1.37,stop有 :1回目 0.6,2.57,stop有 : 1.13,2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_aya_00101.png,enemy_icon_chara_aya_00101,boss_icon_chara_aya_00101,,
aya,あやかしトライアングル,00201,chara_aya_00201,香炉木 恋緒,香炉木 恋緒,サポートする責任があるんです,SR,DropSR,黄,chara,サポート,dageki_1,,-,,1.33,stop有 :1回目 0.58,2.33,stopud無 : 1.33,2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_aya_00201.png,enemy_icon_chara_aya_00201,boss_icon_chara_aya_00201,,
aya,あやかしトライアングル,00301,chara_aya_00301,ニノ曲 宗牙,二ノ曲 宗牙,ニノ曲流・祓忍法 迅雷跳断,SR,DropSR,緑,chara,アタック,shageki_1,,shageki_1,,1.31,stop有 :1回目 0.5,1.37,"stop無:1回目 0.62
stop無:2回目 0.78
stop無:3回目 1
stop無:4回目 1.19
stop有:5回目 1.5",2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_aya_00301.png,enemy_icon_chara_aya_00301,boss_icon_chara_aya_00301,,
mar,マリッジトキシン,00001,chara_mar_00001,下呂 ヒカル,不器用な毒使い 下呂 ヒカル,毒薬二連【舛】×【戈】,UR,PremiumUR,緑,chara,テクニカル,dageki_1,,shageki_1,,1.34,stop有 :1回目 0.34,2.62,stop有 :1回目 1.2,2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_mar_00001.png,enemy_icon_chara_mar_00001,boss_icon_chara_mar_00001,,
mar,マリッジトキシン,00002,chara_mar_00002,下呂 ヒカル（ドレスアップ）,選定中,,SR,DropSR,青,chara,テクニカル,,,,,,,,,,,,,,,
mar,マリッジトキシン,00101,chara_mar_00101,城崎 メイ,城崎 メイ,そんな提案初めて,SSR,PremiumSSR,黄,chara,サポート,dageki_1,,-,,1.37,stop有 :1回目 0.65,2.67,stop有 :1回目 0.83,2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_mar_00101.png,enemy_icon_chara_mar_00101,boss_icon_chara_mar_00101,,
mar,マリッジトキシン,00201,chara_mar_00201,姫川 杏子,姫川 杏子,サメフレのサメ重,SR,DropSR,青,chara,ディフェンス,dageki_1,,dageki_1,,1.37,stop有 :1回目 0.6,2.51,stop有 :1回目 1.0,2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_mar_00201.png,enemy_icon_chara_mar_00201,boss_icon_chara_mar_00201,,
mar,マリッジトキシン,00301,chara_mar_00301,嬉野 シオリ,選定中,,SR,DropSR,青,chara,ディフェンス,,,,,,,,,2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_mar_00301.png,enemy_icon_chara_mar_00301,boss_icon_chara_mar_00301,,
mar,マリッジトキシン,00401,chara_mar_00401,鳴子,音使い 鳴子,変性血統＋＋【谺】,SR,DropSR,赤,chara,テクニカル,shageki_1,,zangeki_1,,2.23,stop有 :1回目 1,2.27,stop有 :1回目 1.5,2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_mar_00401.png,enemy_icon_chara_mar_00401,boss_icon_chara_mar_00401,,
sib,シバつき物件,00001,chara_sib_00001,百瀬 氷,監修中,,UR,PremiumUR,黄,chara,ディフェンス,,,,,1.37,stop有 :1回目 0.43,2.5,stop無 :1回目 0.96,2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_sib_00001.png,enemy_icon_chara_sib_00001,boss_icon_chara_sib_00001,,
nek,猫田びより,00001,chara_nek_00001,猫田さん,猫田さん,何も生み出せない事を教えてやるぜ,SSR,PremiumSSR,黄,chara,アタック,dageki_1,,dageki_1,,1.37,stop有 :1回目 0.5,1.9,stop有 :1回目 0.85,2026/04/中旬,2970-01-01 11:59:59,catchcopy_character_chara_nek_00001.png,enemy_icon_chara_nek_00001,boss_icon_chara_nek_00001,,
mad,MAD,00001,chara_mad_00001,ジョン（エイリアン形態）,選定中,,UR,PremiumUR,青,chara,アタック,,,,,1.17,stop有 :1回目 0.3,3.33,stop有 :1回目 0.75,2026/06/上旬,2970-01-01 11:59:59,catchcopy_character_chara_mad_00001.png,enemy_icon_chara_mad_00001,boss_icon_chara_mad_00001,,
mad,MAD,00101,chara_mad_00101,パノ,選定中,,UR,PremiumUR,赤,chara,アタック,,,,,1.23,0.4,3.17,stop有 :1回目 1,2026/06/上旬,2970-01-01 11:59:59,catchcopy_character_chara_mad_00101.png,enemy_icon_chara_mad_00101,boss_icon_chara_mad_00101,,
mad,MAD,00201,chara_mad_00201,アルダ,選定中,,SR,DropSR,赤,chara,ディフェンス,,,,,1.33,stop有 :1回目 0.43,2.4,"stop無:1回目 0.26
stop無:2回目 0.4
stop有:3回目 1.23",2026/06/上旬,2970-01-01 11:59:59,catchcopy_character_chara_mad_00201.png,enemy_icon_chara_mad_00201,boss_icon_chara_mad_00201,,
mad,MAD,00301,chara_mad_00301,ボブ,選定中,,SR,DropSR,緑,chara,サポート,,,,,1.72,stop有 :1回目 0.71,2.13,stop無:1回目 0.5,2026/06/上旬,2970-01-01 11:59:59,catchcopy_character_chara_mad_00301.png,enemy_icon_chara_mad_00301,boss_icon_chara_mad_00301,,
syu,終末のハーレム,00001,chara_syu_00001,周防 美来,選定中,,UR,PremiumUR,緑,chara,サポート,,,,,1.70,stop有 :1回目 0.66,3.1,stop無:1回目 1.18,2026/06/中旬,2970-01-01 11:59:59,catchcopy_character_chara_syu_00001.png,enemy_icon_chara_syu_00001,boss_icon_chara_syu_00001,,
aft,終末のハーレム After World,00001,chara_aft_00001,溝下 乃薔薇,選定中,,UR,PremiumUR,赤,chara,ディフェンス,,,,,1.75,stop有:1回目 1.08,3.63,stop無:1回目 1.08,2026/06/中旬,2970-01-01 11:59:59,catchcopy_character_chara_aft_00001.png,enemy_icon_chara_aft_00001,boss_icon_chara_aft_00001,,
kut,口が裂けても君には,00001,chara_kut_00001,みろく,選定中,,UR,PremiumUR,青,chara,テクニカル,,,,,1.67,stop有:1回目 0.5,3.43,stop無:1回目 0.61,2026/06/中旬,2970-01-01 11:59:59,catchcopy_character_chara_kut_00001.png,enemy_icon_chara_kut_00001,boss_icon_chara_kut_00001,,
san,サンキューピッチ,00001,chara_san_00001,桐山 不折,選定中,,UR,PremiumUR,黄,chara,アタック,,,,,1.63,stop有:1回目 0.58,2.85,stop有 :1回目 1.18,,,,,,,
san,サンキューピッチ,00101,chara_san_00101,三馬 正磨,選定中,,SR,DropSR,赤,chara,アタック,,,,,1.57,stop有:1回目 0.81,2.5,stop無 :1回目 1.6,,,,,,,
sei,正反対な君と僕,00001,chara_sei_00001,鈴木 みゆ,選定中,,UR,PremiumUR,赤,chara,ディフェンス,,,,,,,,,,,,,,,
kus,クソ女に幸あれ,00001,chara_kus_00001,"西川 檸檬",選定中,,UR,PremiumUR,青,chara,テクニカル,,,,,,,,,,,,,,,
han,半人前の恋人,00001,chara_han_00001,"杉崎 響子",選定中,,SSR,PremiumSSR,赤,chara,ディフェンス,,,,,,,,,,,,,,,
kub,久保さんは僕を許さない,00001,chara_kub_00001,"久保 渚咲",選定中,,SR,DropSR,緑,chara,アタック,,,,,,,,,,,,,,,
c8m,ちえりの恋は8メートル,00001,chara_c8m_00001,"大峰 ちえり",選定中,,SR,DropSR,無,chara,スペシャル,,,,,,,,,,,,,,,
fan,終末のハーレム ファンタジア,00001,chara_fan_00001,ラティ,選定中,,UR,PremiumUR,青,chara,テクニカル,,,,,,,,,,,,,,,
kaw,カワイスギクライシス,00001,chara_kaw_00001,リザ・ルーナ,選定中,,SR,DropSR,赤,chara,アタック,,,,,,,,,,,,,,,
vig,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,00001,chara_vig_00001,灰廻 航一,選定中,,UR,PremiumUR,黄,chara,アタック,,,,,,,,,,,,,,,
vig,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,00101,chara_vig_00101,オールマイト,選定中,,UR,FestivalUR,赤,chara,アタック,,,,,,,,,,,,,,,
vig,ヴィジランテ-僕のヒーローアカデミア ILLEGALS-,00201,chara_vig_00201,イレイザーヘッド,選定中,,UR,FestivalUR,青,chara,テクニカル,,,,,,,,,,,,,,,
chi2,チェンソーマン 第二部,00001,chara_chi2_00001,三鷹 アサ&ヨル,選定中,,UR,FestivalUR,緑,chara,アタック,,,,,,,,,,,,,,,
ssm,すすめ！ジャンプへっぽこ探検隊！,00001,chara_ssm_00001,サクライ タケシ 先生,選定中,,SSR,PremiumSR,無,chara,ディフェンス,,,,,,,,,,,,,,,
eiu,英雄機関,00001,chara_eiu_00001,レオニダス・タイラー,選定中,,SR,DropSR,緑,chara,アタック,,,,,,,,,,,,,,,
exo,エクソシストを堕とせない,00001,chara_exo_00001,少年神父,選定中,,SR,DropSR,黄,chara,アタック,,,,,,,,,,,,,,,
oto,大人大戦,00001,chara_oto_00001,浦島 優太郎,,,SR,DropSR,赤,chara,サポート,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
,error,,__,,,,,,,,,,,,,,,,,,,,,,,
以下エネミーを記載,,,,,以下エネミーを記載,,,,,以下エネミーを記載,,,,,,以下エネミーを記載,,,,,以下エネミーを記載,,,,,以下エネミーを記載
,,,,,,,,,,,,,,,,,,,,,,,,,,
spy,SPY×FAMILY,00001,enemy_spy_00001,密輸組織の残党,密輸組織の残党,,,,,enemy,,shageki_1,Short,,,1.00,0.17,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_spy_00001.png,enemy_icon_enemy_spy_00001,boss_icon_enemy_spy_00001,enemy_spy_00001_normal,
spy,SPY×FAMILY,00101,enemy_spy_00101,グエン,グエン,,,,,enemy,,dageki_1,Long,,,1.20,0.50,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_spy_00101.png,enemy_icon_enemy_spy_00101,boss_icon_enemy_spy_00101,enemy_spy_00101_normal,
spy,SPY×FAMILY,00201,enemy_spy_00201,鎖窯使いのバーナビー,,,,,,enemy,,,Long,,,,,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_spy_00201.png,enemy_icon_enemy_spy_00201,boss_icon_enemy_spy_00201,,
spy,SPY×FAMILY,00301,enemy_spy_00301,毒霧使い,,,,,,enemy,,,Middle,,,,,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_spy_00301.png,enemy_icon_enemy_spy_00301,boss_icon_enemy_spy_00301,,
dan,ダンダダン,00001,enemy_dan_00001,セルポ星人,セルポ星人,ー,,,,enemy,,dageki_1,,,,1.16,0.50,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_dan_00001.png,enemy_icon_enemy_dan_00001,boss_icon_enemy_dan_00001,,
dan,ダンダダン,00101,enemy_dan_00101,セルポ星人（変身）,セルポ星人(変身),ー,,,,enemy,,dageki_1,,,,1.40,0.70,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_dan_00101.png,enemy_icon_enemy_dan_00101,boss_icon_enemy_dan_00101,enemy_dan_00101_normal,
dan,ダンダダン,00201,enemy_dan_00201,ターボババア,ターボババア,ー,,,,enemy,,dageki_1,,,,1.50,0.40,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_dan_00201.png,enemy_icon_enemy_dan_00201,boss_icon_enemy_dan_00201,,
dan,ダンダダン,00301,enemy_dan_00301,アクロバティックさらさら,アクロバティックさらさら,ー,,,,enemy,,dageki_1,Middle,,,1.20,0.27,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_dan_00301.png,enemy_icon_enemy_dan_00301,boss_icon_enemy_dan_00301,enemy_dan_00301_normal,
gom,姫様“拷問”の時間です,00101,enemy_gom_00101,トーチャー・トルチュール,トーチャー・トルチュール,"""拷問""の時間です",,,,enemy,テクニカル,dageki_2,,,00101,2.90,1.00,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00101.png,enemy_icon_enemy_gom_00101,boss_icon_enemy_gom_00101,chara_gom_00101_normal,
gom,姫様“拷問”の時間です,00001,enemy_gom_00001,カナッジ,カナッジ,ー,,,無,enemy,,,,,,1.60,0.50,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00001,boss_icon_enemy_gom_00001,,
gom,姫様“拷問”の時間です,00201,enemy_gom_00201,クロル,クロル,ー,,,,enemy,,dageki_1,,,,1.30,0.30,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00201.png,enemy_icon_enemy_gom_00201,boss_icon_enemy_gom_00201,,
gom,姫様“拷問”の時間です,00301,enemy_gom_00301,キュイ,キュイ,ー,,,,enemy,ディフェンス,dageki_1,,,,2.76,1.50,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00301,boss_icon_enemy_gom_00301,,
gom,姫様“拷問”の時間です,00401,enemy_gom_00401,たこ焼きくん,たこ焼きくん,ー,,,,enemy,アタック,dageki_1,,,,1.00,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00002.png,enemy_icon_enemy_gom_00401,boss_icon_enemy_gom_00401,enemy_dan_00401_normal,
gom,姫様“拷問”の時間です,00402,enemy_gom_00402,たこ焼き,たこ焼き,ー,,,,enemy,アタック,dageki_1,,,,1.00,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00402,boss_icon_enemy_gom_00402,,
gom,姫様“拷問”の時間です,00501,enemy_gom_00501,バタートースト,バタートースト,ー,,,,enemy,ディフェンス,dageki_1,,,,1.00,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00501,boss_icon_enemy_gom_00501,,
gom,姫様“拷問”の時間です,00502,enemy_gom_00502,割きトースト,割きトースト,ー,,,,enemy,アタック,dageki_1,,,,1.00,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00502,boss_icon_enemy_gom_00502,,
gom,姫様“拷問”の時間です,00601,enemy_gom_00601,ゴリラのマーチA,ゴリラのマーチ,ー,,,,enemy,アタック,dageki_1,,,,1,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00601,boss_icon_enemy_gom_00601,,
gom,姫様“拷問”の時間です,00611,enemy_gom_00611,ゴリラのマーチB,ゴリラのマーチ,ー,,,,enemy,アタック,dageki_1,,,,1,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00611,boss_icon_enemy_gom_00611,,
gom,姫様“拷問”の時間です,00621,enemy_gom_00621,ゴリラのマーチC,ゴリラのマーチ,ー,,,,enemy,アタック,dageki_1,,,,1,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00621,boss_icon_enemy_gom_00621,,
gom,姫様“拷問”の時間です,00631,enemy_gom_00631,ゴリラのマーチD,ゴリラのマーチ,ー,,,,enemy,アタック,dageki_1,,,,1,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00631,boss_icon_enemy_gom_00631,,
gom,姫様“拷問”の時間です,00701,enemy_gom_00701,ラーメン,ラーメン,ー,,,,enemy,アタック,dageki_1,,,,1.00,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00701,boss_icon_enemy_gom_00701,,
gom,姫様“拷問”の時間です,00801,enemy_gom_00801,ライス,ライス,ー,,,,enemy,ディフェンス,dageki_1,,,,1.00,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00801,boss_icon_enemy_gom_00801,,
gom,姫様“拷問”の時間です,00901,enemy_gom_00901,ライス(海苔),ライス (海苔),ー,,,,enemy,アタック,dageki_1,,,,1.00,0.833,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_00901,boss_icon_enemy_gom_00901,,
gom,姫様“拷問”の時間です,01001,enemy_gom_01001,あんぱん,あんぱん,ー,,,,enemy,,,,,,,,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_01001,boss_icon_enemy_gom_01001,,
gom,姫様“拷問”の時間です,01002,enemy_gom_01002,トーストあんぱん,トーストあんぱん,ー,,,,enemy,,,,,,,,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_01002,boss_icon_enemy_gom_01002,,
gom,姫様“拷問”の時間です,01101,enemy_gom_01101,魔王ゴッドサンダー,魔王ゴッドサンダー,ー,,,,enemy,,,,,,,,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_gom_00001.png,enemy_icon_enemy_gom_01101,boss_icon_enemy_gom_01101,,
chi,チェンソーマン,00001,enemy_chi_00001,ゾンビの悪魔,ゾンビの悪魔,ー,,,,enemy,,dageki_2,,,,1.13,0.20,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_chi_00001.png,enemy_icon_enemy_chi_00001,boss_icon_enemy_chi_00001,enemy_chi_00001_normal,
chi,チェンソーマン,00101,enemy_chi_00101,ゾンビ,ゾンビ,ー,,,,enemy,,dageki_1,,,,1.90,0.66,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_chi_00101.png,enemy_icon_enemy_chi_00101,boss_icon_enemy_chi_00101,,
chi,チェンソーマン,00201,enemy_chi_00201,コウモリの悪魔,コウモリの悪魔,ー,,,,enemy,,dageki_1,,,,1.34,0.33,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_chi_00201.png,enemy_icon_enemy_chi_00201,boss_icon_enemy_chi_00201,enemy_chi_00201_normal,
kai,怪獣８号,00001,enemy_kai_00001,怪獣 本獣,怪獣 本獣,ー,,,,enemy,,dageki_1,,,,2.34,stop有:1回目 1.00,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_kai_00001.png,enemy_icon_enemy_kai_00001,boss_icon_enemy_kai_00001,,
kai,怪獣８号,00101,enemy_kai_00101,怪獣 余獣,怪獣 余獣,ー,,,,enemy,,dageki_1,,,,1.23,stop有:1回目 0.56,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_kai_00101.png,enemy_icon_enemy_kai_00101,boss_icon_enemy_kai_00101,,
kai,怪獣８号,00201,enemy_kai_00201,怪獣９号,怪獣９号,ー,,,,enemy,,shageki_1,,,,2.47,stop有:1回目 1.26,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_kai_00201.png,enemy_icon_enemy_kai_00201,boss_icon_enemy_kai_00201,,
kai,怪獣８号,00301,enemy_kai_00301,蜘蛛の怪獣,蜘蛛の怪獣,ー,,,,enemy,,dageki_1,,,,1.00,0.40,-,-,,,,,,,
kai,怪獣８号,00401,enemy_kai_00401,怪獣１０号,怪獣１０号,ー,,,,enemy,,dageki_1,,,,1.30,stop有:1回目 0.55,-,-,,,,,,,
sur,魔都精兵のスレイブ,00001,enemy_sur_00001,和倉 青羽,和倉 青羽,ー,,,,enemy,,dageki_1,,,,1.24,stop有:1回目 0.50,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_sur_00001.png,enemy_icon_enemy_sur_00001,boss_icon_enemy_sur_00001,,
sur,魔都精兵のスレイブ,00101,enemy_sur_00101,醜鬼,醜鬼,ー,,,,enemy,ディフェンス,dageki_1,,,,0.80,0.30,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_sur_00101.png,enemy_icon_enemy_sur_00101,boss_icon_enemy_sur_00101,,
jig,地獄楽,00001,enemy_jig_00001,門神,門神,ー,,,,enemy,ディフェンス,dageki_1,,,,1.83,0.83,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_jig_00001.png,enemy_icon_enemy_jig_00001,boss_icon_enemy_jig_00001,enemy_jig_00001_normal,
jig,地獄楽,00101,enemy_jig_00101,門神 （小）,門神 (小),ー,,,,enemy,ディフェンス,dageki_1,,,,1.83,0.83,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_jig_00101.png,enemy_icon_enemy_jig_00101,boss_icon_enemy_jig_00101,enemy_jig_00101_normal,
jig,地獄楽,00201,enemy_jig_00201,門神 （大）,門神 (大),ー,,,,enemy,ディフェンス,dageki_1,,,,1.83,0.83,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_jig_00201.png,enemy_icon_enemy_jig_00201,boss_icon_enemy_jig_00201,enemy_jig_00201_normal,
jig,地獄楽,00301,enemy_jig_00301,竈神 魚,竈神 魚,ー,,,,enemy,アタック,dageki_1,,,,1.50,0.66,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_jig_00301.png,enemy_icon_enemy_jig_00301,boss_icon_enemy_jig_00301,,
jig,地獄楽,00401,enemy_jig_00401,極楽蝶,極楽蝶,ー,,,,enemy,アタック,dageki_2,,,,1.30,0.66,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_jig_00401.png,enemy_icon_enemy_jig_00401,boss_icon_enemy_jig_00401,,
jig,地獄楽,00402,enemy_jig_00402,極楽蝶,極楽蝶,ー,,,,enemy,アタック,dageki_2,,,,2.10,0.60,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_jig_00402.png,enemy_icon_enemy_jig_00402,boss_icon_enemy_jig_00402,enemy_jig_00402_normal,
jig,地獄楽,00501,enemy_jig_00501,山田浅ェ門 源嗣,山田浅ェ門 源嗣,ー,,,,enemy,ディフェンス,zangeki_1,,,,1.43,0.66,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_jig_00501.png,enemy_icon_enemy_jig_00501,boss_icon_enemy_jig_00501,enemy_jig_00501_normal,
jig,地獄楽,00601,enemy_jig_00601,朱槿,朱槿,ー,,,,enemy,,,,,,1.5,0.75,-,-,2026-01-16 15:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_jig_00601.png,enemy_icon_enemy_jig_00601,boss_icon_enemy_jig_00501,,
mag,株式会社マジルミエ,00001,enemy_mag_00001,冷却系の怪異,冷却系怪異,ー,,,,enemy,,shageki_1,,,00001,1.50,0.80,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_mag_00001.png,enemy_icon_enemy_mag_00001,boss_icon_enemy_mag_00001,enemy_mag_00001_normal,
mag,株式会社マジルミエ,00101,enemy_mag_00101,つらら,つらら,ー,,,,enemy,,zangeki_1,,,00101,0.37,stop有:1回目 0.20,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_mag_00101.png,enemy_icon_enemy_mag_00101,boss_icon_enemy_mag_00101,,
mag,株式会社マジルミエ,00201,enemy_mag_00201,建造物寄生型の怪異（大）,建造物寄生型の怪異 (大),ー,,,,enemy,,dageki_1,,,00201,1.50,0.74,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_mag_00201.png,enemy_icon_enemy_mag_00201,boss_icon_enemy_mag_00201,enemy_mag_00201_normal,
mag,株式会社マジルミエ,00301,enemy_mag_00301,建造物寄生型の怪異（小）,建造物寄生型の怪異,ー,,,,enemy,,dageki_2,,,00301,1.50,0.74,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_mag_00301.png,enemy_icon_enemy_mag_00301,boss_icon_enemy_mag_00301,,
mag,株式会社マジルミエ,00401,enemy_mag_00401,工事現場の怪異,工事現場の怪異,,,,,enemy,,,,,,1.67,stop有:0.84,-,-,,,,,,,
sum,サマータイムレンダ,00001,enemy_sum_00001,影,影,ー,,,,enemy,ディフェンス,dageki_1,,,00001,1.50,0.66,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_sum_00001.png,enemy_icon_enemy_sum_00001,boss_icon_enemy_sum_00001,enemy_sum_00001_normal,
sum,サマータイムレンダ,00101,enemy_sum_00101,小舟 澪(影)_拳銃,小舟 澪の影 (拳銃),ー,,,,enemy,アタック,shageki_1,,,00101,1.40,0.60,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_sum_00101.png,enemy_icon_enemy_sum_00101,boss_icon_enemy_sum_00101,enemy_sum_00101_normal,
sum,サマータイムレンダ,00201,enemy_sum_00201,小舟 澪(影)_包丁,小舟 澪の影 (包丁),ー,,,,enemy,アタック,zangeki_1,,,00201,1.40,0.66,-,-,2025-01-01 0:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_sum_00201.png,enemy_icon_enemy_sum_00201,boss_icon_enemy_sum_00201,enemy_sum_00201_normal,
you,幼稚園WARS,00001,enemy_you_00001,暗殺者（近）,不良系金髪イケメン,ー,,,,enemy,アタック,zangeki_1,,,,1.27,stop有0.5,-,-,2026-02-02 15:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_you_00001.png,enemy_icon_enemy_you_00001,boss_icon_enemy_you_00001,,
you,幼稚園WARS,00101,enemy_you_00101,暗殺者（遠）,イケメンじゃない殺し屋,ー,,,,enemy,アタック,shageki_1,,,,1.27,0.56,-,-,2026-02-02 15:00:00,2970-01-01 11:59:59,catchcopy_character_enemy_you_00101.png,enemy_icon_enemy_you_00101,boss_icon_enemy_you_00101,,
