対応テーブル,運営仕様書名,フォルダパス
MstAutoPlayerSequence,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstAutoPlayerSequence,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstAutoPlayerSequence,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstAutoPlayerSequence,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstAutoPlayerSequence,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstAutoPlayerSequence,GLOW_ランクマッチ開催仕様書,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/01_GLOW_定常コンテンツ仕様書/ランクマッチ開催設計/GLOW_ランクマッチ開催仕様書
MstArtwork,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstArtwork,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstArtwork,GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理
MstArtworkI18n,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstArtworkI18n,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstArtworkI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstArtworkFragment,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstArtworkFragment,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstArtworkFragmentI18n,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstArtworkFragmentI18n,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstArtworkFragmentI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstArtworkFragmentPosition,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstArtworkFragmentPosition,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstMangaAnimation,【1日1回】本能が告げている 危険だと,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【1日1回】本能が告げている 危険だと
MstMangaAnimation,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstMangaAnimation,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstMangaAnimation,【チャレンジ】死罪人と首切り役人,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【チャレンジ】死罪人と首切り役人設計
MstMangaAnimation,【高難度】手負いの獣は恐ろしいぞ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【高難度】手負いの獣は恐ろしいぞ
MstMissionEvent,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstMissionEventI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstMissionEventI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstMissionEventDependency,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstMissionEventDailyBonus,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstMissionEventDailyBonusSchedule,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstMissionLimitedTerm,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstMissionLimitedTermI18n,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstMissionLimitedTermI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstMissionReward,【降臨バトル】まるで 悪夢を見ているようだ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【降臨バトル】まるで 悪夢を見ているようだ_地獄楽
MstMissionReward,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstItem,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstItem,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstItem,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstItem,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstItem,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstItem,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstItem,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstItem,（暗黙的インプット）既存マスタデータ・参照データ,projects/glow-masterdata
MstItem,GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理
MstItemI18n,【ストーリー】必ず生きて帰る（画眉丸編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】必ず生きて帰る
MstItemI18n,【ストーリー】朱印の者たち（共闘関係編）,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/01_クエスト・ステージ/クエスト設計/イベントクエスト/【202601010】地獄楽 いいジャン祭/【ストーリー】朱印の者たち
MstItemI18n,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
MstItemI18n,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
MstItemI18n,ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00601_民谷 巌鉄斎
MstItemI18n,ヒーロー基礎設計_chara_jig_00701_メイ,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00701_メイ
MstItemI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstItemI18n,（暗黙的インプット）既存マスタデータ・参照データ,projects/glow-masterdata
MstItemI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
OprGacha,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
OprGacha,GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理
OprGachaI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
OprGachaI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
OprGachaPrize,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
OprGachaPrize,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
OprGachaPrize,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
OprGachaPrize,（暗黙的インプット）既存マスタデータ・参照データ,projects/glow-masterdata
OprGachaUpper,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
OprGachaUseResource,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
OprGachaDisplayUnitI18n,ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00401_賊王 亜左 弔兵衛
OprGachaDisplayUnitI18n,ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬,domain/raw-data/google-drive/spread-sheet/GLOW/031_レベルデザイン/基礎設計シート/03_ヒーロー/キャラ設計/ヒーロー基礎設計_chara_jig_00501_山田浅ェ門 桐馬
OprGachaDisplayUnitI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
OprGachaDisplayUnitI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstStoreProduct,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstStoreProductI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstStoreProductI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
OprProduct,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
OprProductI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
OprProductI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstPack,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstPackI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstPackI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstPackContent,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstPvp,GLOW_ランクマッチ開催仕様書,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/01_GLOW_定常コンテンツ仕様書/ランクマッチ開催設計/GLOW_ランクマッチ開催仕様書
MstPvpI18n,GLOW_ランクマッチ開催仕様書,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/01_GLOW_定常コンテンツ仕様書/ランクマッチ開催設計/GLOW_ランクマッチ開催仕様書
MstPvpI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
MstHomeBanner,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstHomeBanner,GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理
MstEmblem,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstEmblem,GLOW_ID管理,domain/raw-data/google-drive/spread-sheet/GLOW/010_企画・仕様/GLOW_ID 管理
MstEmblemI18n,20260116_地獄楽 いいジャン祭_仕様書（運営仕様書）,domain/raw-data/google-drive/spread-sheet/GLOW/080_運営/いいジャン祭（施策）/運営_仕様書/20260116_地獄楽 いいジャン祭_仕様書
MstEmblemI18n,GLOW_キャラ名称＆キャラセリフ資料,domain/raw-data/google-drive/spread-sheet/GLOW/011_監修/00_監修/開発監修資料/監修資料/キャラセリフ&名称など/GLOW_キャラ名称＆キャラセリフ資料
