,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,w6,,47,,,,e_glo_00002_osh1_advent_Boss_Green,,,,推し活ファントム,,,,Boss,,Green,,Attack,,Default,,Normal,,,,700000,,70,,2000,,20,,58.5,,,,1709.40,,,,,,,,,,,-,,0,,,,45,,0.22,,0,,0.23,,1,,1,,100,,250,,50,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,250,,0,,1,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,47,,ElapsedTimeSinceSequenceGroupActivated,250,SummonEnemy,e_glo_00002_osh1_advent_Boss_Green,,1,0,None,,None,,None,,None,,,FALSE,,Default,Normal,70,20,1,250,50,,None,,202512020
,w6,,48,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,70000,,70,,1200,,12,,58.5,,,,1025.64,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,ElapsedTimeSinceSequenceGroupActivated,,,,500,,50,,3,,,,Fall0,,2.2,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,48,,ElapsedTimeSinceSequenceGroupActivated,500,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,3,50,Fall0,2.2,None,,None,,None,,,FALSE,,Default,Normal,70,12,1,50,10,,None,,202512020
,w6,,49,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,70000,,70,,1200,,12,,58.5,,,,1025.64,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,FriendUnitDead,,,,48,,250,,10,,300,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,49,,FriendUnitDead,48,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,10,250,None,,None,,None,,None,,,FALSE,,Default,Normal,70,12,1,50,10,300,None,,202512020
,w6,,50,,,,e_glo_00002_osh1_advent_Normal_Green,,,,推し活ファントム,,,,Normal,,Green,,Attack,,Default,,Normal,,,,70000,,70,,1200,,12,,58.5,,,,1025.64,,,,,,,,,,,-,,0,,,,47,,0.22,,0,,0.23,,1,,1,,50,,50,,10,,,,,,,,FriendUnitDead,,,,46,,,,,,50,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,50,,FriendUnitDead,46,SummonEnemy,e_glo_00002_osh1_advent_Normal_Green,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,70,12,1,50,10,50,None,,202512020
,w6,,groupchange_7,,,,w1,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,FriendUnitDead,,,,47,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,w6,groupchange_7,,FriendUnitDead,47,SwitchSequenceGroup,w1,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
,,,,,,,,,,,none,,,,none,,none,,none,,Default,,Normal,,,,none,,,,none,,,,none,,none,,攻撃力に数値を入力,,none,,,,none,,,,,none,,none,,none,,none,,none,,none,,none,,none,,none,,none,,,,,,,,,,,,未入力,,,,,,,,,,,,None,,,,None,,,,,,None,,,,,,None,,,,,,,,FALSE,,None,,,,,,,,,,,,,,,,,未入力,,SummonEnemy,,,,,None,,None,,None,,None,,,FALSE,,Default,Normal,,,1,,,,None,,202512020
